City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
364,Swan Hill,AU,-35.3378,143.5544,63.32,33,6,7.43,clear sky,2021-11-16 01:49:03
365,Grand-Santi,GF,4.25,-54.3833,73.45,98,99,2.19,overcast clouds,2021-11-16 01:49:03
366,Mangrol,IN,21.1167,70.1167,73.02,41,100,11.3,overcast clouds,2021-11-16 01:49:04
367,Filadelfia,US,39.9523,-75.1638,42.12,59,1,5.99,clear sky,2021-11-16 01:46:05
368,Saint-Francois,FR,46.4154,3.9054,44.47,92,90,0.0,overcast clouds,2021-11-16 01:49:04
369,Santa Rosa,PH,14.3122,121.1114,88.09,69,92,13.62,overcast clouds,2021-11-16 01:49:05
370,Kutina,HR,45.475,16.7819,44.58,92,99,3.62,overcast clouds,2021-11-16 01:49:05
371,Sistranda,NO,63.7256,8.834,47.89,74,100,13.0,light rain,2021-11-16 01:49:05
372,Moose Factory,CA,51.2585,-80.6094,28.4,93,90,13.8,light snow,2021-11-16 01:49:06
373,Grindavik,IS,63.8424,-22.4338,35.55,100,75,24.16,broken clouds,2021-11-16 01:49:06
374,Launceston,AU,-41.45,147.1667,59.61,49,90,5.01,overcast clouds,2021-11-16 01:49:06
375,Kieta,PG,-6.2167,155.6333,84.58,72,100,4.0,light rain,2021-11-16 01:49:07
376,Dingle,PH,10.9995,122.6711,81.75,84,100,10.67,light rain,2021-11-16 01:49:07
377,Atar,MR,20.5169,-13.0499,78.84,30,100,5.28,overcast clouds,2021-11-16 01:49:07
378,Boyolangu,ID,-8.1181,111.8935,79.39,79,98,4.25,overcast clouds,2021-11-16 01:49:08
379,Marawi,PH,7.9986,124.2928,74.64,77,58,3.65,broken clouds,2021-11-16 01:49:08
380,Les Escoumins,CA,48.1111,-69.0236,34.95,81,100,12.41,overcast clouds,2021-11-16 01:49:09
381,Rovnoye,RU,50.7765,46.0509,28.2,73,23,13.65,few clouds,2021-11-16 01:49:09
382,Verkhoyansk,RU,67.5447,133.385,-14.28,91,98,2.91,overcast clouds,2021-11-16 01:49:09
383,Pemangkat,ID,1.1667,108.9667,82.6,73,98,2.93,overcast clouds,2021-11-16 01:49:10
384,Nagato,JP,34.3833,131.2,59.45,50,100,2.84,overcast clouds,2021-11-16 01:49:10
385,Dalvik,IS,65.9702,-18.5286,37.33,79,16,12.39,few clouds,2021-11-16 01:49:10
386,Chernyshevskiy,RU,63.0128,112.4714,9.1,96,100,1.48,overcast clouds,2021-11-16 01:49:11
387,Misratah,LY,32.3754,15.0925,66.42,50,2,7.54,clear sky,2021-11-16 01:49:11
388,Cedar City,US,37.6775,-113.0619,56.37,26,1,9.22,clear sky,2021-11-16 01:49:12
389,Maun,BW,-19.9833,23.4167,75.16,57,0,2.3,clear sky,2021-11-16 01:49:12
390,Jalu,LY,29.0331,21.5482,66.27,77,100,10.98,overcast clouds,2021-11-16 01:49:13
391,Lavrentiya,RU,65.5833,-171.0,14.95,90,95,7.47,overcast clouds,2021-11-16 01:49:13
392,Richards Bay,ZA,-28.783,32.0377,71.62,89,85,11.34,overcast clouds,2021-11-16 01:49:13
393,Ittiri,IT,40.5929,8.5684,54.5,90,98,5.12,overcast clouds,2021-11-16 01:49:14
394,Benguela,AO,-12.5763,13.4055,80.91,70,100,4.65,overcast clouds,2021-11-16 01:49:14
395,Vokhma,RU,58.9303,46.7586,25.09,81,100,14.29,overcast clouds,2021-11-16 01:49:15
396,Chingirlau,KZ,51.095,54.0814,14.02,90,8,9.69,clear sky,2021-11-16 01:49:15
397,Bac Lieu,VN,9.285,105.7244,78.73,90,100,15.17,moderate rain,2021-11-16 01:49:15
398,Port Moresby,PG,-9.4431,147.1797,89.02,66,40,11.5,haze,2021-11-16 01:49:16
399,Acarau,BR,-2.8856,-40.12,80.37,79,20,15.21,few clouds,2021-11-16 01:49:16
400,Tiznit,MA,29.5833,-9.5,53.69,65,4,2.68,clear sky,2021-11-16 01:49:16
401,Neiafu,TO,-18.65,-173.9833,81.28,61,40,10.36,scattered clouds,2021-11-16 01:49:17
402,Aleppo,SY,36.25,37.5,56.62,69,0,3.15,clear sky,2021-11-16 01:49:17
403,Fukue,JP,32.6881,128.8419,59.36,77,75,3.44,broken clouds,2021-11-16 01:49:18
404,Bonfim,BR,3.0833,-59.95,81.7,62,85,7.09,overcast clouds,2021-11-16 01:49:19
405,Mahon,ES,39.8885,4.2658,55.96,94,75,26.46,broken clouds,2021-11-16 01:49:19
406,Kapit,MY,2.0167,112.9333,79.39,82,100,0.94,overcast clouds,2021-11-16 01:49:20
407,Yerofey Pavlovich,RU,53.9667,121.9667,20.16,59,0,2.84,clear sky,2021-11-16 01:49:20
408,Normandin,CA,48.8333,-72.5321,31.62,86,56,6.91,broken clouds,2021-11-16 01:49:21
409,Yabrud,SY,33.9674,36.6574,49.53,62,50,2.1,scattered clouds,2021-11-16 01:49:21
410,Fortuna,US,40.5982,-124.1573,59.36,75,90,0.0,light rain,2021-11-16 01:49:22
411,Mulege,MX,26.8833,-111.9833,72.21,48,26,3.22,scattered clouds,2021-11-16 01:49:22
412,Killybegs,IE,54.6333,-8.45,49.44,84,100,14.47,overcast clouds,2021-11-16 01:49:22
413,Teguise,ES,29.0605,-13.564,61.02,77,0,8.05,clear sky,2021-11-16 01:49:23
414,Vikhorevka,RU,56.1201,101.1636,24.39,92,100,3.31,overcast clouds,2021-11-16 01:49:23
415,Usinsk,RU,65.9939,57.5281,19.76,96,100,11.27,light snow,2021-11-16 01:49:23
416,Nuevo Progreso,MX,23.1667,-97.95,73.6,72,0,4.59,clear sky,2021-11-16 01:49:24
417,Bardiyah,LY,31.7561,25.0865,67.86,76,93,8.19,overcast clouds,2021-11-16 01:49:24
418,Nieuw Nickerie,SR,5.95,-56.9833,77.76,87,99,9.75,overcast clouds,2021-11-16 01:49:25
419,Mirnyy,RU,62.5353,113.9611,11.14,96,100,1.1,overcast clouds,2021-11-16 01:49:25
420,Karasjok,NO,69.4719,25.5112,39.31,91,100,11.48,overcast clouds,2021-11-16 01:49:25
421,Harper,LR,4.375,-7.7169,77.72,86,29,4.94,light rain,2021-11-16 01:49:26
422,College,US,64.8569,-147.8028,-2.25,78,75,0.0,light snow,2021-11-16 01:49:26
423,Velyka Mykhaylivka,UA,47.0794,29.8514,33.08,84,4,9.42,clear sky,2021-11-16 01:49:26
424,Moctezuma,MX,29.8,-109.6667,71.96,24,0,3.47,clear sky,2021-11-16 01:49:27
425,Broken Hill,AU,-31.95,141.4333,60.51,41,2,6.91,clear sky,2021-11-16 01:47:29
426,Konevo,RU,62.1215,39.3192,32.95,97,100,13.85,light snow,2021-11-16 01:49:27
427,Kondinskoye,RU,59.6481,67.41,11.61,93,33,9.57,scattered clouds,2021-11-16 01:49:28
428,Benalla,AU,-36.55,145.9833,59.99,44,38,9.64,scattered clouds,2021-11-16 01:49:28
429,Andenes,NO,69.3143,16.1194,40.98,87,75,10.36,broken clouds,2021-11-16 01:49:29
430,Eureka,US,40.8021,-124.1637,59.63,95,100,5.01,light rain,2021-11-16 01:49:29
431,Pisco,PE,-13.7,-76.2167,65.01,82,0,16.11,clear sky,2021-11-16 01:44:55
432,Umm Lajj,SA,25.0213,37.2685,74.91,67,0,10.36,clear sky,2021-11-16 01:49:29
433,Afsin,TR,38.2477,36.914,40.73,41,6,3.42,clear sky,2021-11-16 01:49:30
434,Coahuayana,MX,18.7333,-103.6833,76.28,70,80,2.82,broken clouds,2021-11-16 01:49:30
435,Trinidad,BO,-14.8333,-64.9,74.52,97,100,3.56,light rain,2021-11-16 01:49:31
436,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.37,99,100,0.27,overcast clouds,2021-11-16 01:49:31
437,Berlevag,NO,70.8578,29.0864,41.0,80,100,25.52,overcast clouds,2021-11-16 01:49:31
438,Oktyabrskoye,RU,43.0645,44.7417,30.34,100,100,6.71,snow,2021-11-16 01:49:32
439,Guerrero Negro,MX,27.9769,-114.0611,70.75,57,0,9.48,clear sky,2021-11-16 01:49:32
440,Barguzin,RU,53.6167,109.6167,21.31,84,86,6.53,overcast clouds,2021-11-16 01:49:33
441,Ogulin,HR,45.2661,15.2286,50.83,96,100,2.89,overcast clouds,2021-11-16 01:49:33
442,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,13.8,scattered clouds,2021-11-16 01:49:33
443,Kimbe,PG,-5.5502,150.1429,85.53,73,100,6.08,moderate rain,2021-11-16 01:49:34
444,Palu,ID,-0.8917,119.8707,83.44,76,100,1.72,overcast clouds,2021-11-16 01:49:34
445,Ust-Koksa,RU,50.2696,85.6108,9.19,95,100,1.92,overcast clouds,2021-11-16 01:49:34
446,Bonnyville,CA,54.2668,-110.735,31.32,95,100,15.59,light snow,2021-11-16 01:49:35
447,Yumen,CN,40.2833,97.2,32.54,31,100,20.09,overcast clouds,2021-11-16 01:49:35
448,Hope,US,33.6671,-93.5916,71.65,89,0,3.87,clear sky,2021-11-16 01:49:36
449,Tura,IN,25.5198,90.2201,67.23,77,3,2.42,clear sky,2021-11-16 01:49:36
450,Bolgatanga,GH,10.7856,-0.8514,81.86,42,16,4.38,few clouds,2021-11-16 01:49:36
451,Ulaanbaatar,MN,47.9077,106.8832,14.13,73,100,0.0,overcast clouds,2021-11-16 01:48:32
452,Camacha,PT,33.0833,-16.3333,63.82,68,20,9.22,few clouds,2021-11-16 01:49:37
453,Bud,US,39.447,-86.1758,38.82,88,95,7.07,overcast clouds,2021-11-16 01:49:37
454,Raga,SS,8.4596,25.678,72.39,63,0,3.83,clear sky,2021-11-16 01:49:37
455,Turka,UA,49.1541,23.0297,38.14,87,0,3.24,clear sky,2021-11-16 01:49:38
456,Mansoa,GW,12.0733,-15.3189,75.4,74,28,4.7,scattered clouds,2021-11-16 01:49:38
457,Jijiga,ET,9.35,42.8,61.32,51,10,2.13,clear sky,2021-11-16 01:49:39
458,Kupang,ID,-10.1667,123.5833,87.58,56,83,5.1,broken clouds,2021-11-16 01:49:39
459,Bridlington,GB,54.0831,-0.1919,50.29,85,100,9.17,overcast clouds,2021-11-16 01:49:39
460,Ixtapa,MX,20.7,-105.2,79.23,75,98,2.64,overcast clouds,2021-11-16 01:49:40
461,Barahona,DO,18.2085,-71.1008,77.99,79,20,4.36,few clouds,2021-11-16 01:49:40
462,Muisne,EC,0.6,-80.0333,73.45,85,100,7.52,overcast clouds,2021-11-16 01:49:41
463,Pundaguitan,PH,6.3711,126.1689,82.67,75,96,4.81,overcast clouds,2021-11-16 01:49:41
464,Clonakilty,IE,51.6231,-8.8706,49.08,88,100,6.8,overcast clouds,2021-11-16 01:49:42
465,Sallanches,FR,45.9442,6.6316,49.48,96,95,1.95,overcast clouds,2021-11-16 01:49:42
466,Sambava,MG,-14.2667,50.1667,76.41,78,52,6.22,broken clouds,2021-11-16 01:49:43
467,Irbit,RU,57.6705,63.071,12.81,91,9,8.1,clear sky,2021-11-16 01:49:43
468,Andijon,UZ,40.7821,72.3442,38.48,86,25,0.0,mist,2021-11-16 01:49:44
469,Kiruna,SE,67.8557,20.2251,29.32,80,55,10.36,broken clouds,2021-11-16 01:49:44
470,Kavaratti,IN,10.5669,72.642,81.55,76,85,12.77,overcast clouds,2021-11-16 01:49:45
471,Santo Nino,PH,6.435,124.6975,85.15,71,90,2.35,overcast clouds,2021-11-16 01:49:45
472,Salvador,SV,13.8333,-88.9167,73.8,88,65,3.74,broken clouds,2021-11-16 01:49:45
473,Loiza,PR,18.4313,-65.8802,82.4,83,40,5.75,scattered clouds,2021-11-16 01:49:46
474,Jardim,BR,-21.4803,-56.1381,72.88,95,100,3.62,moderate rain,2021-11-16 01:49:46
475,Nouadhibou,MR,20.931,-17.0347,71.58,68,100,3.44,overcast clouds,2021-11-16 01:49:47
476,Sinegorye,RU,62.0788,150.477,4.48,97,100,3.0,overcast clouds,2021-11-16 01:49:47
477,Bilibino,RU,68.0546,166.4372,9.21,95,100,3.49,overcast clouds,2021-11-16 01:49:48
478,Thalgau,AT,47.8333,13.25,41.61,97,75,4.61,fog,2021-11-16 01:49:48
479,Mabaruma,GY,8.2,-59.7833,72.63,98,27,2.46,scattered clouds,2021-11-16 01:49:48
480,Karratha,AU,-20.7377,116.8463,88.5,24,9,4.61,clear sky,2021-11-16 01:49:49
481,Turbat,PK,26.0023,63.044,63.79,25,52,9.89,broken clouds,2021-11-16 01:49:49
482,San Vicente,AR,-26.6167,-54.1333,69.76,73,100,2.42,overcast clouds,2021-11-16 01:49:49
483,Jacmel,HT,18.2342,-72.5347,84.04,79,24,4.43,few clouds,2021-11-16 01:49:50
484,Pauini,BR,-7.7136,-66.9764,76.62,89,100,3.13,overcast clouds,2021-11-16 01:49:50
485,Lucapa,AO,-8.4192,20.7447,64.92,98,92,1.63,light rain,2021-11-16 01:49:50
486,Zeya,RU,53.75,127.2667,19.98,55,20,0.81,few clouds,2021-11-16 01:49:51
487,Moron,AR,-34.6534,-58.6198,74.93,81,100,4.59,overcast clouds,2021-11-16 01:47:26
488,Am Timan,TD,11.0297,20.2827,76.44,28,77,4.9,broken clouds,2021-11-16 01:49:51
489,Bequimao,BR,-2.4489,-44.7825,82.72,93,53,2.66,broken clouds,2021-11-16 01:49:52
